sentence,amount_raw,amount_number,amount_unit,percentage,ministry,schemes,top_keywords,entities
"Worked monumental or building stone 
and articles thereof under heading 
6802 except 6802 99 00  40 20 
 
10 Marble slabs classified under tariff 
items 6802 10 00 ,  6802 21 10 , 6802 21 
20 , 6802 21 90 , 6802 91 00 and 6802 
92 00  40 20 
(+20 AIDC)  
11.",,,,,,Worked; Marble,6802; 6802 21; 00; 21,"6802(DATE); 6802 99 00  40 20(DATE); 6802 10 00 ,  6802 21 10 , 6802 21 
20 , 6802 21 90 , 6802 91 00 and 6802(DATE); 92 00  40 20(DATE); 11(CARDINAL)"
"OTS/MR type -flat rolled products of 
thickness less than  0.5 mm  27.5  15 
12.",,,,,,,mm; thickness; flat rolled; rolled products,OTS(ORG); less than  0.5(CARDINAL); 27.5(CARDINAL); 12(CARDINAL)
"Other plates, sheets, strips of thickness 
less than 0.5mm  27.5  15 
13.",,,,,,Other,thickness; 13; 27; 15,less than(CARDINAL); 0.5mm  27.5(QUANTITY); 15(CARDINAL); 13(CARDINAL)
"Flat -rolled products in coils of 
thickness greater than or equal to 4.75 
mm but not exceeding 10mm  22.5  15 
14.",,,,,,Flat,mm; greater; exceeding; thickness,"4.75 
mm(QUANTITY); 10mm  22.5(QUANTITY); 15(CARDINAL); 14(CARDINAL)"
"Flat-rolled products in coils of thickness 
greater than or equal to 3 mm but less 
than 4.75 mm  22.5  15 
15.",,,,,,Flat,mm; 15; greater; thickness,3 mm(QUANTITY); 4.75 mm(QUANTITY); 22.5(CARDINAL); 15(CARDINAL)
"Flat-rolled products of stainless steel of 
width 600mm or more - Other nickel 
chrome austenitic type  22.5  15 
16.",,,,,,Flat; Other,22 15; rolled products; flat rolled; rolled,600mm(QUANTITY); 22.5(CARDINAL); 16(CARDINAL)
"Flat-rolled products of stainless steel of 
width 600mm or more - Other sheets 
and plates  22.5  15 
17.",,,,,,Flat; Other,22 15; 17; rolled products; flat rolled,600mm(QUANTITY); 22.5(CARDINAL); 17(CARDINAL)
"Flat-rolled products of other alloy steel 
grain oriented  20 15 
 41  
 
18.",,,,,,Flat,rolled products; flat rolled; rolled; 18,20 15(DATE); 41(CARDINAL); 18(DATE)
"Other tubes  or pipe fittings of stainless 
steel  25 15 
19.",,,,,,Other,19; fittings; steel 25; steel,"25 15 
19(DATE)"
"Other fittings of iron or steel, non -
galvanised  25 15 
20.",,,,,,Other,fittings; iron; iron steel; steel,"25 15 
20(DATE)"
"Other structure and parts of structures 
of iron and steel  25 15 
21.",,,,,,Other,21; steel 25; iron steel; iron,"25 15 
21(DATE)"
"Others -tanks and drums etc.  25 15 
22.",,,,,,Others,22; 25 15; 25; 15,"25 15 
22(DATE)"
"Other screws and bolts w/n with nuts  25 15 
23.",,,,,,Other,23; 25 15; 25; 15,"25 15 
23(DATE)"
"Threaded nuts  25 15 
24.",,,,,,Threaded,24; 25 15; 25; 15,25 15(DATE); 24(CARDINAL)
"Other non -threaded articles  25 15 
25.",,,,,,Other,25; articles; 25 15; non,"25 15 
25(DATE)"
"Others springs and leaves  of iron/steel  25 15 
26.",,,,,,Others,iron; steel 25; iron steel; 26,25 15(DATE); 26(CARDINAL)
"Other cast articles of iron or steel  25 15 
27.",,,,,,Other,iron; steel 25; iron steel; articles,"25 15 
27(DATE)"
"Articles of forged or stamped but not 
further worked  25 15 
28.",,,,,,Articles,28; articles; 25 15; 25,"25 15 
28(DATE)"
"All other articles of iron/steel  25 15 
29.",,,,,,All,iron; steel 25; iron steel; 29,"25 15 
29(DATE)"
"Solar cells covered by tariff heading 
8541  25 
(+2.5 SWS)  20 
(+7.5 AIDC)  
30.",,,,,,Solar,cells; 25 sws; 20 aidc; covered tariff,Solar(ORG); 8541  25(CARDINAL); 20(CARDINAL); 30(CARDINAL)
"Motor cars and other motor vehicles 
principally designed for the transport 
of persons, including station wagons 
and racing cars, under tariff heading 
8703 >USD 40000  125  (tariff 
rate)  
 
100 BCD + 
10 SWS  
(effective 
rate)  70 (tariff 
rate)  
 
70+ 40 
AIDC  
(effective 
rate)  
31.","rs,",",",,,,Motor,rate; rate 70; cars; tariff rate,8703 >USD 40000  125(PRODUCT); 100(CARDINAL); BCD(ORG); 10(CARDINAL); SWS(ORG); 70(DATE); 70+ 40(DATE); 31(CARDINAL)
"Used Motor cars and other motor 
vehicles principally designed for the 
transport of persons, including station 
wagons and racing cars, under tariff 
heading 8703  125 (tariff)  
 
125 BCD + 
12.5 SWS  
(effective 
rate)  70 (tariff)  
 
70+ 67.5 
AIDC  
(effective 
rate)  
32.","rs,",",",,,,Used Motor,125; cars; tariff; motor,8703(CARDINAL); 125(CARDINAL); 125(CARDINAL); BCD(ORG); 12.5(CARDINAL); 70(DATE); 70(CARDINAL); 32(CARDINAL)
"Motorcycles (including mopeds) and 
cycles fitted with an auxiliary motor, 100 (tariff)  70(tariff)  
 42  
 
with or without side -cars under tariff 
heading 8711  (No change 
in effective 
rate)  (No change 
in effective 
rate) 
33.",,,,,,Motorcycles,change effective; change; tariff; effective rate,100(CARDINAL); 42(CARDINAL); 8711(DATE); 33(CARDINAL)
"Used Motorcycles (including mopeds) 
and cycles fitted with an auxiliary 
motor, with or without side -cars under 
tariff heading 8711  100 (tariff)  
 
100 BCD 
+10 SWS  
(effective 
rate)  70 (tariff)  
 
70+ 40 
AIDC  
(effective 
rate)  
34.",,,,,,Used Motorcycles,tariff; effective rate; effective; 70,8711  100(CARDINAL); 100(CARDINAL); BCD(ORG); 70(DATE); 70+ 40(DATE); 34(CARDINAL)
"Bicycles under tariff item 8712 00 10  35 20 
(+15 AIDC)  
35.",,,,,,Bicycles,35; item; tariff item; 00,8712(DATE); 10  35 20(CARDINAL); 35(CARDINAL)
"Yachts and other vessels for pleasure 
or sports; rowing boats and canoes 
covered under tariff heading 8903  25 
(+2.5 SWS)  20 
(+7.5 AIDC)  
36 Electricity  meters for alternating 
current (Smart Meters) under tariff 
item  9028  30 10  25 
(+2.5 SWS)  20 
(+7.5 AIDC)  
37 Parts of electronic toys, under tariff 
item 9503 00",,,,,,Yachts; Electricity; Smart Meters; Parts,meters; tariff; tariff item; item,8903(CARDINAL); 25(CARDINAL); 20(CARDINAL); 36(CARDINAL); Smart Meters(PERSON); 9028  30(DATE); 20(CARDINAL); 9503 00(DATE)
"91 for manufacture of 
electronic toys  25 BCD + 
2.5 SWS   20 BCD+ 
7.5 AIDC  
 
D.4.",,,,,,,bcd; electronic toys; 91; toys,91(CARDINAL); 25(CARDINAL); BCD(ORG); 2.5(CARDINAL); SWS(ORG); 20(CARDINAL); 7.5(CARDINAL)
"Decrease in Tariff rate with reduction in effective rate [With effect 
from 02.02.2025]  
 
 Commodity  Rate of duties  
From  
(per cent)",,,,,,Decrease; Tariff; With; Commodity  Rate; From,rate; 02; effect 02; 02 2025,02.02.2025(CARDINAL)
"To 
(per cent)  
1.",,,,,,,cent,1(CARDINAL)
"Synthetic flavouring essences 
and mixtures of odoriferous 
substances for use in food and 
drink industry  100 
 20 
(+2 SWS)  
2.",,,,,,Synthetic,food; industry; use; 100,100(CARDINAL); 2(CARDINAL)
"Sorbitol under tariff sub -
heading 3824 60  30 
(+3 SWS)  20 
(+2 SWS)  
 43  
 
 Commodity  Rate of duties  
From  
(per cent)",,,,,,Sorbitol; Commodity  Rate; From,sws; tariff sub; sub heading; 60,Sorbitol(PERSON); 3824 60  30(DATE); 20(CARDINAL); 43(CARDINAL); Commodity  Rate(ORG)
"To 
(per cent)  
3. Articles of jewellery and parts 
thereof under tariff heading 
7113; articles of goldsmiths’ or 
silversmiths’ wares and parts 
thereof under tariff heading 
7114  25 
 20 
 
4.",,,,,,Articles,parts thereof; thereof; articles; parts,"3(CARDINAL); 7113(DATE); 7114(DATE); 25(CARDINAL); 20 
 
4(DATE)"
"Solar module under tariff 
heading 8541  40 
(+4 SWS)  20 
(+20 AIDC)  
5.",,,,,,Solar,20; module; 20 20; 20 aidc,Solar(ORG); 8541(DATE); 40(CARDINAL); +4 SWS(GPE); 20(CARDINAL); 5(CARDINAL)
"Motor vehicles (for passenger) 
covered under tariff heading 
8702  40 
(+4 SWS)  20 
(+20 AIDC)  
6.",,,,,,Motor,20; motor vehicles; vehicles; motor,8702  40(CARDINAL); +4 SWS(GPE); 20(CARDINAL); 6(CARDINAL)
"Motor vehicles (for goods) 
covered under tariff heading 
8704  40 
(+4 SWS)  20 
(+20 AIDC)  
7. Seats (other than those of 
heading 9402), whether or not 
convertible into beds, and 
parts thereof, covered under 
tariff heading 9401  25 
(+2.5 SWS)  20 
(+5 AIDC)  
8.",,,,,,Motor; Seats,heading; 20; 20 aidc; covered tariff,8704  40(CARDINAL); +4 SWS(GPE); 20(CARDINAL); 9402(DATE); 9401(DATE); 25(CARDINAL); 20(CARDINAL); 8(CARDINAL)
"Other furniture and parts 
thereof covered under tariff 
heading 9403  25 
(+2.5 SWS)  20 
(+5 AIDC)  
9.",,,,,,Other,parts thereof; thereof; 25 sws; parts,9403(CARDINAL); 25(CARDINAL); 20(CARDINAL); 9(CARDINAL)
"Mattress supports, articles of 
bedding and similar furnishing 
etc covered under tariff 
heading 9405  25 
(+2.5 SWS)  20 
(+5 AIDC)  
10.",,,,,,Mattress,articles; 25 sws; 20 aidc; covered tariff,9405(DATE); 25(CARDINAL); 20(CARDINAL); 10(CARDINAL)
"Luminaries and light fittings  
including searchlights and 
spotlights and parts thereof 
etc 25 
(+2.5 SWS)  20 
(+5 AIDC)  
11.",,,,,,Luminaries,fittings; parts thereof; thereof; 25 sws,25(CARDINAL); 20(CARDINAL); 11(CARDINAL)
"Parts of electronic toys, under 
tariff item 9503 00",,,,,,Parts,electronic toys; toys; electronic; tariff item,9503 00(DATE)
"91  70 
 20 
(+20 AIDC)  
 44  
 
 Commodity  Rate of duties  
From  
(per cent)",,,,,,Commodity  Rate; From,20; 91; commodity rate; rate duties,91  70(CARDINAL); 44(CARDINAL); Commodity  Rate(ORG)
"To 
(per cent)  
12.",,,,,,,cent 12; 12; cent,12(CARDINAL)
"Laboratory chemicals under 
tariff item 9802 00 00",,,,,,Laboratory,00; item; tariff item; tariff,9802(DATE); 00 00(DATE)
"(other 
than those attracting 10% BCD 
on specified end use)  150 
(+ 15 SWS)  
 70 
(+ 70 AIDC)  
13.",,,,10%,,,70; end use; 13; use,10%(PERCENT); BCD(ORG); 150(CARDINAL); 15(CARDINAL); SWS(ORG); 70(CARDINAL); 13(CARDINAL)
"All dutiable articles, imported 
by a passenger or a member of 
a crew in his baggage, under 
tariff heading 9803  100 (tariff rate)  
 
35+ 3.5 SWS  
(effective rate)  70 (tariff rate)  
 
35 
(effective rate)  
14.",,,,,,All,rate; tariff rate; tariff; effective rate,9803  100(CARDINAL); 35+ 3.5(DATE); 70(DATE); 35(CARDINAL); 14(CARDINAL)
"Dutiable goods imported for 
personal use classified under 
heading 9804 other than those 
at 10% BCD  35 
(+ 3.5 SWS)  20 
 
 
E. Export duty on Leather [with effect from 2.2.2025]  
S. 
No. Commodity  
 Rate of duties  
From  
(per cent)",,,,10%,,"Dutiable; Export; Leather; Commodity  
 Rate; From",goods imported; effect 2025; personal; 2025 commodity,9804(DATE); 10%(PERCENT); BCD(ORG); 35(CARDINAL); 3.5(CARDINAL); 20(CARDINAL); 2.2.2025(CARDINAL); Rate(PERSON)
"To 
(per cent)  
1 Crust Leather (hides and skins)  20 0 
 
F. Trade Facilitation Measures  
F.1.",,,,,,Crust Leather; Trade Facilitation Measures,trade facilitation; facilitation; trade; leather,1(CARDINAL); 20(CARDINAL)
"Increase in duration  for export of handicrafts  
The duration for export of handicrafts manufactured from duty free 
inputs by bonafide exporters is being increased from 6 months to 1 
year, further extendable by 3 months.",,,,,,Increase; The,handicrafts; months; export; duty free,"6 months(DATE); 1 
year(DATE); 3 months(DATE)"
"Removal of Customs  (Import of Goods at Concessional rate of duty or 
For Specific End Use) Rules 2022 ( IGCR) condition for import of seeds for 
use in manufacture of Lab Grown Diamonds  
The IGCR condition for custom duty exemption on import of seeds for 
use in manufacture of rough L ab Grown Diamond  is being removed.",,,,,,"Removal; Customs; Import; Goods; Concessional; For Specific End Use; Rules; Lab Grown Diamonds  
The; Grown Diamond",import; use; grown; condition,"Customs(ORG); Lab Grown Diamonds  
(WORK_OF_ART); Grown Diamond(PERSON)"
"Extension of time limit for export  
 45  
 
The time limit for export of foreign origin goods imported for repairs is 
being extended from 6 months to one year further extendable by one 
year for railway goods.",,,,,,Extension; The,export; time limit; year; goods,"45(CARDINAL); 6 months to one year(DATE); one 
year(DATE)"
"Amendment of Customs (Import of Goods at Concessional Rate  of 
Duty or For Specified  End Use ) Rules, 2022  
Rules 6 and 7 are being amended to increase the time limit for fulfilling 
end use from current six months to one year and to file only a quarterly 
statement instead of monthly statement.",,,,,,Amendment; Customs; Import; Goods; Concessional Rate; Duty; For Specified  End Use; Rules,rules; end use; statement; use,2022(DATE); 6(CARDINAL); current six months to one year(DATE); quarterly(DATE); monthly(DATE)
"Note: AIDC – Agriculture Infrastructure and Development Cess; SWS – Social 
Welfare Surcharge  
 
G. OTHERS  
There are few other changes of minor nature.",,,,,Agriculture Infrastructure,"Note; Agriculture Infrastructure; Development Cess; Social 
Welfare Surcharge; There",note; surcharge; cess; minor,
"For details of the budget 
proposals, the Explanatory Memorandum and other relevant budget 
documents may be referred to.",,,,,,For; Explanatory Memorandum,budget; referred; details; relevant,
"46  
 
Annexure to Part B  
Amendments relating to Direct Taxes  
(i) Personal Income -tax reforms with special focus on middle class  
1.",,,,,,Annexure; Part; Amendments; Direct Taxes; Personal Income,personal income; focus middle; personal; tax reforms,46(CARDINAL); Direct Taxes(ORG)
"Substantial relief is proposed under the new tax regime with new slabs 
and tax rates as under: - 
 Total income  Rate of tax  
Upto ` 4,00,000  Nil 
From ` 4,00,001 to ` 8,00,000  5 per cent  
From ` 8,00,001 to ` 12,00,000  10 per cent  
From ` 12,00,001 to ` 16,00,000  15 per cent  
From ` 16,00,001 to ` 20,00,000  20 per cent  
From ` 20,00,001 to ` 24,00,000  25 per cent  
Above ` 24,00,000  30 per cent  
 
2.",,,,,,"Substantial; Total; Rate; Upto; Nil 
From; From; Above",00; 00 000; 00 001; 001,"Rate(PERSON); 4,00,000(CARDINAL); 4,00,001(CARDINAL); 8,00,000(CARDINAL); 8,00,001(CARDINAL); 12,00,000  10(CARDINAL); 12,00,001(CARDINAL); 16,00,000  15(CARDINAL); 16,00,001(CARDINAL); 20,00,000  20(CARDINAL); 20,00,001(CARDINAL); 24,00,000  25(CARDINAL); 24,00,000  30(CARDINAL); 2(CARDINAL)"
"Rebate on income -tax 
•",,,,,,Rebate,rebate; income tax; income; tax,
"Resident individual with total income up to ` 7,00,000 do not pay any 
tax due to rebate under the new tax regime.",,,,,,Resident,tax; tax rebate; new tax; pay,"7,00,000(CARDINAL)"
"It is proposed to 
increase the rebate for the resident individual under the new regime 
so that they do not pay tax if their total income is up to ` 12,00,000.",,,,,,,income 12; proposed increase; 12 00; individual,"12,00,000(CARDINAL)"
"Marginal relief as provided earlier under the new tax regime is also 
applicable for income marginally higher than ` 12,00,000.",,,,,,Marginal,earlier; new tax; marginal; tax regime,"12,00,000(CARDINAL)"
"• A few examples for calculation of tax benefit are given in the table 
below:  
 47  
 
 Income  Tax on  
Slabs and rates  Benefit  
of Rebate benefit  Total 
Benefit  Tax after 
rebate 
Benefit  
 Present  Proposed  Rate 
/Slab",,,,,,"Income  Tax; Slabs; Benefit; Rebate; Total 
Benefit  Tax; Benefit  
 Present  Proposed  Rate; Slab",benefit; rebate; tax; given,47(CARDINAL)
"Full upto Rs 12 
lacs   
8 lac  30,000  20,000  10,000  20,000  30,000  0 
9 lac  40,000  30,000  10,000  30,000  40,000  0 
10 lac  50,000  40,000  10,000  40,000  50,000  0 
11 lac  65,000  50,000  15,000  50,000  65,000  0 
12 lac  80,000  60,000  20,000  60,000  80,000  0 
16 lac  1,70,000  1,20,000  50,000  0 50,000  1,20,000  
20 lac  2,90,000  2,00,000  90,000  0 90,000  2,00,000  
24 lac  4,10,000  3,00,000  1,10,000  0 1,10,000  3,00,000  
50 lac  11,90,000  10,80,000  1,10,000  0 1,10,000  10,80,000  
(ii) Rationalization of TDS/TCS for easing difficulties  
1.",Rs 12,12,,,,Full; Rationalization,000; lac; 000 10; 10 000,"12(CARDINAL); 8(CARDINAL); 30,000(CARDINAL); 0(CARDINAL); 9 lac  40,000  30,000(QUANTITY); 40,000(CARDINAL); 10(CARDINAL); 11(CARDINAL); 12(CARDINAL); 80,000(CARDINAL); 16(CARDINAL); 1,10,000  10,80,000(CARDINAL); TDS(ORG); 1(CARDINAL)"
"Rationalization tax deducted at source (TDS) and tax collected at source 
(TCS) rates:  
• To reduce multiplicity of rates and compliance burden, it is proposed 
to bring down certain TDS and TCS rates in certain sections as below:  
S. No  Section  of the Act  Present TDS/TCS  
Rate  Proposed TDS/TCS  Rate  
1.",,,,,,Rationalization; Section; Act  Present; Rate  Proposed; Rate,tds; tcs; tds tcs; rates,TDS(ORG); TCS(ORG); TDS(ORG); TCS(ORG); TDS(ORG); TCS(ORG); TDS(ORG); TCS(ORG); 1(CARDINAL)
"Section 194LBC - Income in 
respect of investment in 
securitization trust  25% if payee is 
Individual or HUF and 
30% otherwise  
 10%  
2.",,,,25%,,Section; Income; Individual,individual; respect; trust; 30,25%(PERCENT); HUF(ORG); 30%(PERCENT); 10%(PERCENT); 2(CARDINAL)
"Sub-section (1) of section 206C 
(i) TCS on timber or any other 
forest produce (not being 
tendu leaves)  obtained under 
a forest lease and  
(ii) TCS on timber obtained by 
any mode other than under a 
forest lease  2.5%  2% 
3.",,,,2.5%,,Sub,forest; forest lease; obtained; tcs,1(CARDINAL); section 206C(LAW); 2.5%  2%(PERCENT); 3(CARDINAL)
"Sub-section (1G) of section 
206C – TCS on remittance 
under LRS for  purpose of 
education, financed by loan 
from financial institution  0.5% after ` 7 lakhs  Nil 
 
 48  
 
•",7 lakh,7,lakh,0.5%,,Sub; Nil,section; remittance; 48; loan,206C(CARDINAL); 0.5%(PERCENT); 7(CARDINAL); Nil(ORG); 48(CARDINAL)
"It is further proposed to increase certain thresholds for requirement 
to deduct tax at source or collect tax at source under certain sections, 
as below:  
S.No  Section  of the Act  Present TDS /TCS 
Threshold (Rs)",,,,,,Section; Act  Present; Threshold,tax source; source; certain; tax,TDS(ORG)
"Proposed TDS /TCS 
Threshold (Rs)  
1.",,,,,,Proposed; Threshold,threshold; rs; tds tcs; tds,TDS(ORG); 1(CARDINAL)
"193 - Interest on 
securities",,,,,,Interest,securities,193(CARDINAL)
"Nil 10,000/ - 
2.  
194A - Interest 
other than  
Interest on 
securities  (i) 50,000/ - for senior 
citizen;  
(ii) 40,000/ - in case of 
others  
when payer is bank, 
cooperative society and 
post office  
(iii) 5,000/ - in other 
cases  (i) 1,00,000/ - for senior 
citizen  
(ii) 50,000/ - in case of 
others  
when payer is bank, co -
operative society and post 
office  
(iii) 10,000/ - in other cases  
3.  194 – Dividend, 
for an individual 
shareholder  5,000/ - 10,000/ - 
4.",,,,,,Nil; Interest; Dividend,000; 10 000; citizen; senior,"2(CARDINAL); 194A(CARDINAL); 40,000/(CARDINAL); 3.  194(CARDINAL); 4(CARDINAL)"
"194K - Income in 
respect of units of 
a mutual fund or 
specified company 
or undertaking  5,000/ - 10,000/ - 
5.",,,,,,Income,000; undertaking; company; 000 10,"194(CARDINAL); K - Income(ORG); 5,000/ - 10,000/(CARDINAL); 5(CARDINAL)"
"194B - Winnings 
from lottery, 
crossword puzzle 
etc.",,,,,,Winnings,,194B - Winnings(DATE)
"Aggregate of amounts 
exceeding 10,000/ - 
during the financial year  10,000/ - in respect of a 
single transaction  
6.",,,,,,Aggregate,10 000; 000; 10; exceeding,"the financial year  10,000/(DATE); 6(CARDINAL)"
"194BB - Winnings 
from horse race  
7.",,,,,,Winnings,,194BB - Winnings(PERSON)
"194D - Insurance 
commission  15,000/ - 20,000/ - 
8.  194G - Income by 
way of 
commission, prize 
etc. on lottery 
tickets  15,000/ - 20,000/ - 
9.",,,,,,Insurance; Income,000; 15 000; 000 20; 20 000,"194D(CARDINAL); 15,000/(CARDINAL); 8(CARDINAL); 194(CARDINAL); 15,000/(CARDINAL); 9(CARDINAL)"
"194H - 
Commission or 
brokerage  15,000/ - 20,000/ - 
10.",,,,,,Commission,000; 15 000; 000 20; 20 000,"194H(CARDINAL); 15,000/(CARDINAL); 10(CARDINAL)"
"194-I Rent  2,40,000/ - during the 
financial year  50,000/ - per month or part 
of a month  
 49  
 
11.",,,,,,Rent,month; 000; rent; 40 000,"194(CARDINAL); the 
financial year  50,000/ - per month(DATE); a month(DATE); 49(CARDINAL)"
"194J - Fee for 
professional or 
technical services  30,000/ - 50,000/ - 
12.",,,,,,Fee,000; 000 50; technical; fee,194J(CARDINAL); 12(CARDINAL)
"194LA - Income by 
way of enhanced 
compensation  2,50,000/ - 5,00,000/ - 
13.",,,,,,Income,000; 000 00; income way; way,"2,50,000/ - 5,00,000/ - 
(DATE); 13(CARDINAL)"
"206C(1G) – 
Remittance under 
LRS and overseas 
tour program 
package  7,00,000/ - 10,00,000/ - 
 
(iii) Encouraging voluntary compliance  
1.",,,,,,Remittance; Encouraging,00 000; 00; 000; encouraging voluntary,"206C(1(CARDINAL); 7,00,000/ - 10,00,000/(CARDINAL); 1(CARDINAL)"
"Extending the time -limit to file the updated return:  
•",,,,,,Extending,file updated; updated return; file; return,
"It is proposed to extend the time -limit to file the updated return from 
the existing 24 months to 48 months from the end of the relevant 
assessment year.",,,,,,,months; file updated; relevant assessment; end relevant,24 months to 48 months(DATE)
"The additional tax payable shall be 60% of the 
aggregate of tax and interest payable on additional income for filing 
updated return during the period of 24 months to 36 months from 
the end of relevant assessment year.",,,,60%,,The,tax payable; payable; additional; months,60%(PERCENT); 24 months to 36 months(DATE)
"Additional t ax payable shall be 
70% of the aggregate of tax and interest payable for filing updated 
return during the period of 36 months to 48 months from the end of 
relevant assessment year subject to certain conditions.",,,,70%,,Additional,payable; months; relevant assessment; end relevant,70%(PERCENT); the period of(DATE); 36 months to 48 months(DATE)
"Obligation  to furnish  information  in respect  of crypto -asset:  
•",,,,,,Obligation,asset; respect,
"It is proposed  to bring  amendment  in the Act to provide  for that a 
prescribed  reporting  entity  in respect  of a crypto -asset  shall  furnish  
information  in respect  of a transaction  in such  crypto  asset,  in a 
statement  as prescribed.",,,,,,Act,prescribed; asset; respect; entity,
"It is also proposed  to align  the definition  of 
virtual  digital  asset  accordingly.",,,,,,,digital; asset; definition; proposed,
"3. Annual  value of the self -occupied property simplified:  
•",,,,,,Annual,annual value; occupied; annual; self,3(CARDINAL); Annual(DATE)
"It is proposed  to provide  that the annual  value  of the property  
consisting  of a house  or any part thereof  shall  be taken  as nil, if the 
owner  occupies  it for his own  residence  or cannot  actually  occupy  it 
due to any reason.",,,,,,,annual value; house; annual; thereof,annual(DATE)
"(iv) Reducing compliance burden  
 50  
 
1.",,,,,,Reducing,reducing compliance; iv; reducing; compliance burden,50(CARDINAL); 1(CARDINAL)
"Reduction in compliance burden by omission of TCS on sale of specified 
goods:   
• To reduce compliance burden of the taxpayers, it is proposed to no 
tax will be collected at source on sale of specified goods of value of 
more than fifty lakhs.","rs,",",",,,,Reduction,compliance burden; burden; compliance; specified,TCS(ORG); more than fifty(CARDINAL)
"Removal of higher TDS/TCS for non -filers of return of income :  
• To reduce compliance burden on the deductor/collector, it is 
proposed to omit section 206AB and section 206CCA of the Act.",,,,,,Removal; Act,section; omit; return; higher,TDS(ORG); 206AB(PRODUCT)
"Definition of “forest produce” rationalized:  
•",,,,,,Definition,forest produce; forest; rationalized; produce,
"It is proposed to clarify the meaning of “forest produce” u/s 206C(1) 
of the Act to remove any ambiguity regarding definition of the same.",,,,,,Act,remove; forest; forest produce; 206c,206C(1(CARDINAL)
"It is also proposed that TCS be collected only on “any other forest 
produce which is obtained under a forest lease.”  
(v) Ease of doing business  
1.",,,,,,Ease,forest; forest lease; obtained; forest produce,TCS(ORG); 1(CARDINAL)
"Extension of time limit u/s 80 -IAC for startups:  
•",,,,,,Extension,80; startups; extension; time limit,80(CARDINAL)
"It is proposed to extend the benefit provided under Section 80-IAC 
to startups for another period of five years, i.e. the benefit will be 
available to eligible start -ups incorporated before 01.04.2030.","rs,",",",,,,Section,benefit; ups; 01; incorporated,Section 80-IAC(LAW); five years(DATE); 01.04.2030(DATE)
"Parity in  rates of long term capital gain on transfer of securities by non -
resident:  
•",,,,,,Parity,term capital; non resident; long term; long,
"It is proposed to bring parity between the taxation of capital gains on 
transfer of capital assets between residents and non -residents being 
Foreign Institutional investors, on their income by way of long -term 
capital gains on transfer of securities.","rs,",",",,,,Foreign Institutional,capital; residents; capital gains; gains,Foreign Institutional(ORG)
"Simplification of tax provisions for charitable trusts/institutions:  
•",,,,,,Simplification,charitable; trusts institutions; institutions; trusts,
"It is proposed to increase the period of validity of registration of trust 
or institution from 5 years to 10 years for smaller trusts or 
institutions.",,,,,,,years; trusts institutions; trust institution; proposed increase,5 years to(DATE); 10 years(DATE)
"It is proposed to rationalize the definition of specified violation for 
cancellation of registration of trust or institution so as to not apply 
the same for minor default such as in -complete applications.",,,,,,,trust institution; registration; rationalize; applications,
"It is also proposed to rationalize the definition of persons making 
substantial contribution to a trust or institution for denial of 
exemption.",,,,,,,trust institution; rationalize; persons; making,
"Rationalization in taxation of business trusts:  
•",,,,,,Rationalization,trusts; rationalization; taxation; business,
"It is proposed to provide that the total income of a business trust 
which is charged to tax at the maximum marginal rate, shall be 
subject to the provisions of section 112A of the Act as well, as it is 
subject to provisions of section 111A and section 112 of the Act.",,,,,,Act,provisions section; subject; section; provisions,section 112A(LAW); section 111A and section 112(LAW)
"Harmonization of Significant Economic Presence applicability with 
business connection:   
•",,,,,,Harmonization; Significant Economic Presence,significant; economic; business,Harmonization of Significant Economic Presence(ORG)
"It is proposed to provide that significant economic presence of a non -
resident in India shall not include the transactions or activities which 
are confined to the purchase of goods in India for the purpose of 
export.",,,,,,India,india; transactions; significant; include,India(GPE); India(GPE)
"Bringing clarity in income on redemption of Unit Linked Insurance Policy:  
•",,,,,,Bringing; Unit Linked Insurance Policy,linked; clarity; unit; insurance,Unit Linked Insurance(ORG)
"It is proposed to clarify that the profit and gains from the redemption 
of unit linked insurance policies to which exemption under section 
10(10D) does not apply, shall be charged to tax as capital gains.",,,,,,,gains; exemption section; linked; section 10,10(10D(CARDINAL)
"Amendment of definition of ‘capital asset’:  
• In order to bring clarity on the chargeability of income arising out of 
transfer of capital asset being securities held by an investment fund 
as referred to in section 115UB of the Act, the definition of capital 
asset is proposed to be amended.",,,,,,Amendment; Act,capital asset; asset; capital; definition capital,115UB of the Act(WORK_OF_ART)
"Rationalization of transfer pricing provisions for carrying out multi -year 
arm’s length price determination  
•",,,,,,Rationalization,transfer pricing; price; pricing; rationalization,multi -year(DATE)
"It is proposed to provide that the transfer pricing provisions for arm’s 
length price determination in relation to similar transactions shall 
now be applicable for a period of 3 years.",rs.,.,,,,,transfer pricing; pricing; price; transactions,3 years(DATE)
"Exemption from prosecution for delayed payment of TCS:  
• It is proposed to provide for exemption from prosecution to a person 
who has failed to pay tax collected at source (TCS) to the credit of 
the Central Government, if such payment is made at any time on or 
before the time prescribed for filing the quarterly TCS statement.",,,,,,Exemption; Central Government,tcs; prosecution; payment; exemption,TCS(ORG); TCS(ORG); the Central Government(ORG); quarterly(DATE); TCS(ORG)
10.,,,,,,,10,10(CARDINAL)
"Amendment of definition of ‘capital asset’:  
• In order to bring clarity on the chargeability of income arising out of 
transfer of capital asset being securities held by an investment fund 
as referred to in section 115UB of the Act, the definition of capital 
asset is proposed to be amended.",,,,,,Amendment; Act,capital asset; asset; capital; definition capital,115UB of the Act(WORK_OF_ART)
